DATE,SP500_PCH
1871-01-01,1.35135
1871-02-01,2.44444
1871-03-01,2.81996
1871-04-01,2.53165
1871-05-01,-0.82305
1871-06-01,-1.86722
1871-07-01,1.2685
1871-08-01,1.04384
1871-09-01,-5.16529
1871-10-01,1.08932
1871-11-01,2.15517
1871-12-01,2.53165
1872-01-01,0.41152
1872-02-01,3.27869
1872-03-01,2.77778
1872-04-01,0
1872-05-01,-0.96525
1872-06-01,-0.5848
1872-07-01,-1.17647
1872-08-01,-1.78571
1872-09-01,0.40404
1872-10-01,-0.40241
1872-11-01,2.42424
1872-12-01,0.78895
1873-01-01,0.78278
1873-02-01,-0.7767
1873-03-01,-1.36986
1873-04-01,0.19841
1873-05-01,-1.38614
1873-06-01,-0.2008
1873-07-01,0
1873-08-01,-7.64588
1873-09-01,-8.7146
1873-10-01,-3.57995
1873-11-01,9.40594
1873-12-01,5.42986
1874-01-01,3.00429
1874-02-01,-1.45833
1874-03-01,-2.74841
1874-04-01,-2.6087
1874-05-01,-0.44643
1874-06-01,0
1874-07-01,0.22422
1874-08-01,1.566
1874-09-01,-0.22026
1874-10-01,0.883
1874-11-01,-0.65646
1874-12-01,0
1875-01-01,-0.22026
1875-02-01,1.3245
1875-03-01,1.30719
1875-04-01,-3.87097
1875-05-01,-2.01342
1875-06-01,0.22831
1875-07-01,0.45558
1875-08-01,-0.90703
1875-09-01,-1.60183
1875-10-01,1.62791
1875-11-01,0
1875-12-01,2.0595
1876-01-01,1.34529
1876-02-01,-0.22124
1876-03-01,-3.7694
1876-04-01,-3.68664
1876-05-01,-0.7177
1876-06-01,-1.20482
1876-07-01,-4.14634
1876-08-01,-6.10687
1876-09-01,-0.54201
1876-10-01,-1.90736
1876-11-01,-0.55556
1876-12-01,-0.83799
1877-01-01,-5.91549
1877-02-01,-5.08982
1877-03-01,-7.25552
1877-04-01,0
1877-05-01,-7.14286
1877-06-01,4.3956
1877-07-01,7.01754
1877-08-01,6.22951
1877-09-01,2.16049
1877-10-01,-1.51057
1877-11-01,-0.30675
1877-12-01,0
1878-01-01,-2.15385
1878-02-01,1.88679
1878-03-01,2.77778
1878-04-01,0.3003
1878-05-01,2.09581
1878-06-01,2.05279
1878-07-01,-0.86207
1878-08-01,2.02899
1878-09-01,-1.13636
1878-10-01,-0.28736
1878-11-01,-0.57637
1878-12-01,3.76812
1879-01-01,3.63128
1879-02-01,-1.61725
1879-03-01,3.28767
1879-04-01,4.50928
1879-05-01,0.50761
1879-06-01,2.0202
1879-07-01,0.74257
1879-08-01,3.6855
1879-09-01,10.90047
1879-10-01,5.34188
1879-11-01,-0.20284
1879-12-01,3.86179
1880-01-01,1.76125
1880-02-01,1.92308
1880-03-01,-2.26415
1880-04-01,-7.91506
1880-05-01,0.41929
1880-06-01,4.5929
1880-07-01,3.59281
1880-08-01,-0.19268
1880-09-01,2.89575
1880-10-01,5.25328
1880-11-01,4.09982
1880-12-01,5.99315
1881-01-01,-0.3231
1881-02-01,1.13452
1881-03-01,-0.32051
1881-04-01,4.50161
1881-05-01,1.23077
1881-06-01,-3.49544
1881-07-01,-2.3622
1881-08-01,0.80645
1881-09-01,-1.6
1881-10-01,0.65041
1881-11-01,-2.90792
1881-12-01,-1.4975
1882-01-01,-2.19595
1882-02-01,-0.17271
1882-03-01,0
1882-04-01,-1.21107
1882-05-01,-0.52539
1882-06-01,5.6338
1882-07-01,3
1882-08-01,0.97087
1882-09-01,-2.72436
1882-10-01,-4.28336
1882-11-01,0.51635
1882-12-01,-0.5137
1883-01-01,-2.23752
1883-02-01,1.23239
1883-03-01,2.08696
1883-04-01,-1.70358
1883-05-01,0.86655
